year,movie,imdbscore,metascore,wins,noms,%won,oscarwin,globewin
2013,Argo, 7.7, 86,3,3,100.0,yes,yes
2013,Amour, 7.9, 94,0,0,0,no,no
2013,Beasts of the Southern Wild, 7.3, 86,0,1,0.0,no,no
2013,Django Unchained, 8.4, 81,0,2,0.0,no,no
2013,Les Mis, 7.6, 63,0,2,0.0,no,no
2013,Life of Pi, 7.9, 79,0,2,0.0,no,no
2013,Lincoln, 7.4, 86,0,3,0.0,no,no
2013,Silver Linings Playbook, 7.8, 81,0,2,0.0,no,no
2013,Zero Dark Thirty, 7.4, 95,0,2,0.0,no,no
2014,12 Years a Slave, 8.1, 96,2,4,50.0,yes,yes
2014,The Wolf of Wall Street, 8.2, 75,0,1,0.0,no,no
2014,American Hustle, 7.3, 90,1,2,50.0,no,no
2014,Nebraska, 7.7, 86,0,1,0.0,no,no
2014,Captain Phillips, 7.8, 83,0,2,0.0,no,no
2014,Philomena, 7.6, 77,0,1,0.0,no,no
2014,Dallas Buyers Club, 8.0, 84,0,2,0.0,no,no
2014,Gravity, 7.8, 96,0,2,0.0,no,no
2014,Her, 8.0, 90,0,1,0.0,no,no
2015,Birdman or (The Unexpected Virtue of Ignorance), 7.8, 88,2,3,66.66666666666666,yes,no
2015,American Sniper, 7.3, 72,0,0,0,no,no
2015,Boyhood, 7.9, 100,2,4,50.0,no,yes
2015,The Imitation Game, 8.1, 73,0,3,0.0,no,no
2015,The Grand Budapest Hotel, 8.1, 88,0,3,0.0,no,no
2015,Selma, 7.5, 89,0,2,0.0,no,no
2015,The Theory of Everything, 7.7, 72,0,3,0.0,no,no
2015,Whiplash, 8.5, 88,0,1,0.0,no,no
2016,Spotlight, 8.1, 93,3,4,75.0,yes,no
2016,The Revenant, 8.0, 76,1,2,50.0,no,yes
2016,Room, 8.2, 86,0,2,0.0,no,no
2016,Brooklyn, 7.5, 87,0,1,0.0,no,no
2016,Bridge of Spies, 7.6, 81,0,1,0.0,no,no
2016,The Martian, 8.0, 80,0,1,0.0,no,no
2016,Mad Max: Fury Road, 8.1, 90,0,2,0.0,no,no
2016,The Big Short, 7.8, 81,0,2,0.0,no,no
